dtcreate,Berkeley_Berkeley_LHJ,Berkeley_Berkeley_LHJ_Cumulativ,Berkeley_Berkeley_LHJ_Deaths,Berkeley_Berkeley_LHJ_Deaths_Cu,Alameda_County_LHJ,Alameda_County_LHJ_Cumulative,Alameda_County_LHJ_Deaths,Alameda_County_LHJ_Deaths__Cumu,Alameda_County,Alameda_County__Cumulative,Alameda_County_Deaths,Alameda_County_Deaths__Cumulati,GlobalID,OBJECTID
2020/07/02 08:00:00+00,19,186,0,2,194,6393,6,208,213,6579,6,210,41a2d652-d784-43cf-a715-39f72447b6b1,126
2020/07/03 08:00:00+00,7,193,0,2,222,6615,2,210,229,6808,2,212,9a9aded3-d68b-4e3a-bf9d-a8001e5298b6,127
2020/07/04 08:00:00+00,10,203,1,3,226,6841,6,216,236,7044,7,219,dfe9cad8-b80e-4451-92d1-8aea784914fc,128
2020/07/05 08:00:00+00,1,204,0,3,124,6965,1,217,125,7169,1,220,ef81ab7a-8573-4a3a-be36-4ca77de244a2,129
2020/07/06 08:00:00+00,11,215,0,3,88,7053,4,221,99,7268,4,224,848244b5-333a-43ad-99ac-ed439dec3825,130
2020/07/07 08:00:00+00,7,222,0,3,135,7188,0,221,142,7410,0,224,1dfda27c-f212-4c25-ba2f-6ffce9ee4c33,131
2020/07/08 08:00:00+00,13,235,0,3,115,7303,0,221,128,7538,0,224,d7574421-81b7-4da3-8beb-56c8f7eba948,132
2020/07/09 08:00:00+00,12,247,0,3,199,7502,3,224,211,7749,3,227,8070a022-5065-4262-a231-725a8528b045,133
2020/07/10 08:00:00+00,10,257,1,4,217,7719,0,224,227,7976,1,228,bb3580d8-057a-448c-a374-3fd3503dc88c,134
2020/07/11 08:00:00+00,13,270,0,4,184,7903,1,225,197,8173,1,229,daf8bf07-4785-448d-af53-2cb49b763911,135
2020/07/12 08:00:00+00,3,273,0,4,146,8049,2,227,149,8322,2,231,560bd385-e084-447f-8329-682a28373432,136
2020/07/13 08:00:00+00,15,288,0,4,106,8155,4,231,121,8443,4,235,6e9a8e0d-fe3c-4114-b183-8395429f3062,137
2020/07/14 08:00:00+00,4,292,0,4,196,8351,2,233,200,8643,2,237,04921007-8356-42e4-bc18-ceddaf347433,138
2020/07/15 08:00:00+00,4,296,0,4,85,8436,0,233,89,8732,0,237,67888f51-f32f-4309-abf5-83784d60a36d,139
2020/07/16 08:00:00+00,4,300,0,4,127,8563,5,238,131,8863,5,242,74c3d8be-26dc-45bb-af2d-1c163c92f594,140
2020/07/17 08:00:00+00,12,312,0,4,259,8822,4,242,271,9134,4,246,6e0f5d60-a935-4878-a06f-75954c7de0f8,141
2020/07/18 08:00:00+00,2,314,0,4,148,8970,1,243,150,9284,1,247,c92a2deb-dbdf-4b7c-bf7a-312006bd095a,142
2020/07/19 08:00:00+00,9,323,0,4,224,9194,3,246,233,9517,3,250,14c5380d-4214-4da7-b47b-0123d8547eb6,143
2020/07/20 08:00:00+00,7,330,1,5,258,9452,3,249,265,9782,4,254,5e360dfb-f8b7-4c03-bf98-05abae051562,144
2020/07/21 08:00:00+00,6,336,0,5,182,9634,4,253,188,9970,4,258,754c6c09-2f92-4312-8910-a6bfe6bc7a62,145
2020/07/22 08:00:00+00,6,342,0,5,228,9862,2,255,234,10204,2,260,c9171487-35bc-431d-9218-a39f97c30a53,146
2020/07/23 08:00:00+00,4,346,0,5,135,9997,2,257,139,10343,2,262,a79f8ea6-6962-4b2f-a3de-0bfcd4da4281,147
2020/07/24 08:00:00+00,15,361,1,6,199,10196,0,257,214,10557,1,263,1393fb25-7063-44f2-87fe-c1d51a4feadc,148
2020/07/25 08:00:00+00,1,362,0,6,122,10318,0,257,123,10680,0,263,601e4240-063a-4faa-b488-0dd1edef6934,149
2020/07/26 08:00:00+00,0,362,0,6,67,10385,1,258,67,10747,1,264,fbb412f5-042c-46eb-93f0-0d134685493b,150
2020/07/27 08:00:00+00,14,376,0,6,243,10628,1,259,257,11004,1,265,d91e55ce-9c19-4c7a-a1fc-6d0f91be8245,151
2020/07/28 08:00:00+00,5,381,0,6,147,10775,2,261,152,11156,2,267,1aaca1ea-dd3e-49f9-b190-de77883846fb,152
2020/07/29 08:00:00+00,2,383,0,6,125,10900,1,262,127,11283,1,268,5553d38a-ee95-416e-83b4-193ce0a59fd9,153
2020/07/30 08:00:00+00,11,394,1,7,172,11072,1,263,183,11466,2,270,227a561d-d423-468e-89c7-084d1d7f03e9,154
2020/07/31 08:00:00+00,4,398,0,7,188,11260,3,266,192,11658,3,273,6bb4773c-c591-4342-8c87-638c6fc875c3,155
2020/08/01 08:00:00+00,3,401,0,7,158,11418,2,268,161,11819,2,275,6a37e274-afe9-4639-a2fc-76a37c1029bc,156
2020/08/02 08:00:00+00,2,403,0,7,75,11493,2,270,77,11896,2,277,a0177a22-55b3-45a9-918b-69f813636562,157
2020/08/03 08:00:00+00,3,406,0,7,90,11583,2,272,93,11989,2,279,4bd363a7-0f5d-4417-ba9c-30e4352699fd,158
2020/08/04 08:00:00+00,1,407,0,7,177,11760,6,278,178,12167,6,285,1c4eb3e5-b343-4f8b-bd0d-62014c8cef28,159
2020/08/05 08:00:00+00,8,415,0,7,314,12074,1,279,322,12489,1,286,a6b8d424-5167-40e8-8a39-962804013bf9,160
